Name,alpha,delta,e_eps,model,pick_neighbor,test/acc,dataset,Unnamed: 0
677ceed7-ea68-11ed-9aa9-54b20380cf4d,0.0,0.5,1.0,sage,top,81.75775480059085,cora,
3e96844c-ea68-11ed-9aa9-54b20380cf4d,0.75,1.0,2.0,gat,top,79.70457902511077,cora,
159e4c8e-ea68-11ed-9aa9-54b20380cf4d,0.75,0.5,1.0,gcn,top,81.72821270310192,cora,
0915706e-ea68-11ed-9aa9-54b20380cf4d,0.0,1.0,inf,gcn,top,81.71344165435747,cora,
d67e3663-ea67-11ed-9aa9-54b20380cf4d,0.5,0.0,8.0,gat,top,80.47267355982275,cora,
a3e49586-ea67-11ed-9aa9-54b20380cf4d,0.25,0.0,8.0,gat,top,79.95568685376664,cora,
7877e0a3-ea67-11ed-9aa9-54b20380cf4d,0.5,0.1,8.0,sage,top,81.87592319054653,cora,
472749e4-ea67-11ed-9aa9-54b20380cf4d,1.0,0.0,0.1,gat,top,77.99113737075331,cora,
1d0f2267-ea67-11ed-9aa9-54b20380cf4d,1.0,0.5,2.0,gat,top,80.38404726735598,cora,
f45963f7-ea66-11ed-9aa9-54b20380cf4d,0.0,1.0,0.1,gcn,top,81.71344165435747,cora,
e883e565-ea66-11ed-9aa9-54b20380cf4d,1.0,0.5,inf,gcn,top,81.71344165435747,cora,
dcce0733-ea66-11ed-9aa9-54b20380cf4d,0.5,1.0,inf,gat,top,79.83751846381094,cora,
b34d9e3b-ea66-11ed-9aa9-54b20380cf4d,1.0,0.5,2.0,gcn,top,81.65435745937961,cora,
89c1e59e-ea66-11ed-9aa9-54b20380cf4d,0.75,0.25,8.0,gcn,top,81.83161004431315,cora,
7dec3c89-ea66-11ed-9aa9-54b20380cf4d,0.5,0.25,inf,gat,top,79.54209748892171,cora,
49979197-ea66-11ed-9aa9-54b20380cf4d,0.0,0.0,2.0,gat,top,78.65583456425405,cora,
184abf71-ea66-11ed-9aa9-54b20380cf4d,0.25,0.25,1.0,gat,top,78.1536189069424,cora,
0efa50d1-ea66-11ed-9aa9-54b20380cf4d,0.25,0.0,inf,sage,top,81.77252584933531,cora,
e4ba668b-ea65-11ed-9aa9-54b20380cf4d,0.0,0.25,8.0,sage,top,81.44756277695718,cora,
d7dd7e8f-ea65-11ed-9aa9-54b20380cf4d,1.0,0.0,inf,gcn,top,81.71344165435747,cora,
cc100a3f-ea65-11ed-9aa9-54b20380cf4d,0.0,0.25,inf,gcn,top,81.71344165435747,cora,
a31fe658-ea65-11ed-9aa9-54b20380cf4d,0.5,0.5,8.0,gcn,top,81.97932053175775,cora,
7a37c81b-ea65-11ed-9aa9-54b20380cf4d,0.0,1.0,8.0,gat,top,79.23190546528802,cora,
4aa2fdd3-ea65-11ed-9aa9-54b20380cf4d,0.25,0.1,8.0,gcn,top,80.7533234859675,cora,
1eb5b5d7-ea65-11ed-9aa9-54b20380cf4d,0.0,0.25,0.1,sage,top,79.8522895125554,cora,
ee954d33-ea64-11ed-9aa9-54b20380cf4d,0.25,0.0,0.1,gcn,top,76.410635155096,cora,
c20b8ce6-ea64-11ed-9aa9-54b20380cf4d,1.0,0.1,0.1,gat,top,80.41358936484491,cora,
